JA-CORR-V,JA-INC-V
9.857142857142856940e+01,9.857142857142856940e+01
9.857142857142856940e+01,8.857142857142856940e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.428571428571429180e+01,9.714285714285713880e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.285714285714286120e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.428571428571429180e+01
9.714285714285713880e+01,9.285714285714286120e+01
9.714285714285713880e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.000000000000000000e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.714285714285713880e+01,9.857142857142856940e+01
9.428571428571429180e+01,9.857142857142856940e+01
9.714285714285713880e+01,9.142857142857143060e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.428571428571429180e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.714285714285713880e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.714285714285713880e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.428571428571429180e+01,9.285714285714286120e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.714285714285713880e+01
9.571428571428570820e+01,9.857142857142856940e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,9.571428571428570820e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.714285714285713880e+01,9.857142857142856940e+01
9.571428571428570820e+01,9.857142857142856940e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.714285714285713880e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.571428571428570820e+01
1.000000000000000000e+02,9.571428571428570820e+01
1.000000000000000000e+02,9.571428571428570820e+01
1.000000000000000000e+02,9.571428571428570820e+01
9.428571428571429180e+01,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.428571428571429180e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.714285714285713880e+01
1.000000000000000000e+02,9.571428571428570820e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.285714285714286120e+01,9.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.714285714285713880e+01,9.285714285714286120e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.000000000000000000e+01,9.285714285714286120e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.857142857142856940e+01
9.285714285714286120e+01,8.714285714285713880e+01
9.714285714285713880e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.714285714285713880e+01,9.285714285714286120e+01
9.857142857142856940e+01,1.000000000000000000e+02
8.857142857142856940e+01,8.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.571428571428570820e+01
9.714285714285713880e+01,9.285714285714286120e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.285714285714286120e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.428571428571429180e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.714285714285713880e+01
1.000000000000000000e+02,9.571428571428570820e+01
9.714285714285713880e+01,9.714285714285713880e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.714285714285713880e+01,1.000000000000000000e+02
8.714285714285713880e+01,9.714285714285713880e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
8.285714285714286120e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.857142857142856940e+01
9.428571428571429180e+01,9.571428571428570820e+01
9.000000000000000000e+01,9.571428571428570820e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.285714285714286120e+01,9.571428571428570820e+01
9.571428571428570820e+01,9.285714285714286120e+01
9.571428571428570820e+01,9.142857142857143060e+01
9.857142857142856940e+01,9.571428571428570820e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.285714285714286120e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.714285714285713880e+01,9.857142857142856940e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.285714285714286120e+01,8.714285714285713880e+01
9.714285714285713880e+01,9.428571428571429180e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.428571428571429180e+01,9.857142857142856940e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.571428571428570820e+01,9.285714285714286120e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.142857142857143060e+01,9.142857142857143060e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
8.000000000000000000e+01,8.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.285714285714286120e+01,9.428571428571429180e+01
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
7.285714285714286120e+01,8.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.571428571428570820e+01,9.428571428571429180e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.857142857142856940e+01,9.428571428571429180e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.714285714285713880e+01,1.000000000000000000e+02
9.571428571428570820e+01,9.857142857142856940e+01
9.714285714285713880e+01,1.000000000000000000e+02
8.142857142857143060e+01,8.285714285714286120e+01
9.428571428571429180e+01,1.000000000000000000e+02
8.714285714285713880e+01,9.571428571428570820e+01
9.857142857142856940e+01,9.571428571428570820e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.428571428571429180e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.857142857142856940e+01,9.285714285714286120e+01
9.571428571428570820e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.428571428571429180e+01
9.571428571428570820e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.285714285714286120e+01,9.285714285714286120e+01
9.857142857142856940e+01,9.571428571428570820e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.571428571428570820e+01,9.571428571428570820e+01
8.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
8.571428571428570820e+01,9.428571428571429180e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.000000000000000000e+01,8.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.571428571428570820e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.714285714285713880e+01
9.714285714285713880e+01,9.428571428571429180e+01
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.857142857142856940e+01,9.571428571428570820e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.428571428571429180e+01,8.857142857142856940e+01
1.000000000000000000e+02,9.428571428571429180e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,9.285714285714286120e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.142857142857143060e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.285714285714286120e+01,1.000000000000000000e+02
9.285714285714286120e+01,9.285714285714286120e+01
8.857142857142856940e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.571428571428570820e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.428571428571429180e+01
9.714285714285713880e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.571428571428570820e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.714285714285713880e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.571428571428570820e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.285714285714286120e+01,9.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.571428571428570820e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
8.714285714285713880e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.285714285714286120e+01
9.714285714285713880e+01,1.000000000000000000e+02
9.571428571428570820e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.857142857142856940e+01
9.714285714285713880e+01,9.285714285714286120e+01
9.285714285714286120e+01,9.285714285714286120e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.714285714285713880e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.000000000000000000e+01,9.714285714285713880e+01
9.857142857142856940e+01,9.857142857142856940e+01
9.571428571428570820e+01,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,9.285714285714286120e+01
8.857142857142856940e+01,9.428571428571429180e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,9.857142857142856940e+01
8.857142857142856940e+01,9.000000000000000000e+01
9.857142857142856940e+01,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.571428571428570820e+01,9.428571428571429180e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.714285714285713880e+01,9.571428571428570820e+01
1.000000000000000000e+02,9.714285714285713880e+01
9.857142857142856940e+01,1.000000000000000000e+02
